Rover GPS,,,,,,,,,,,
Time (s),Easting (m),Northing (m),Elevation (m),Base Station Measurement ?,Easting (m),Northing (m),Elevation (m),,"E, Diff.from Avg.","N, Diff.from Avg.","Elev, Diff.from Avg."
5,667909.48,3033652.08,1.117,,668249.937,3034563.278,1.618,,668249.937,3034563.278,1.618
11,667916.32,3033679.16,1.199,,668249.504,3034564.496,0.934,,668249.504,3034564.496,0.934
15,667930.95,3033709.75,1.034,,668251.236,3034564.216,1.303,,668251.236,3034564.216,1.303
25,667944.61,3033744.8,1.296,,668250.296,3034564.569,0.644,,668250.296,3034564.569,0.644
34,667959.01,3033774.12,0.726,,668251.509,3034566.153,1.325,,668251.509,3034566.153,1.325
39,667974.64,3033822.35,1.166,,668250.924,3034565.858,1.81,,668250.924,3034565.858,1.81
41,667993.23,3033873.19,0.761,,668250.524,3034568.455,1.621,,668250.524,3034568.455,1.621
46,668014.94,3033931.29,0.748,,668248.466,3034563.584,0.723,,668248.466,3034563.584,0.723
53,668037.67,3033992.22,0.837,,668251.205,3034562.947,1.003,,668251.205,3034562.947,1.003
65,668058.28,3034051.17,1.031,,668252.53,3034562.948,0.822,,668252.53,3034562.948,0.822
71,668080.82,3034113.41,0.798,,668251.873,3034566.288,0.769,,668251.873,3034566.288,0.769
82,668103.42,3034179.13,1.111,,668250.882,3034565.801,1.002,,668250.882,3034565.801,1.002
86,668124.19,3034230.49,1.238,,668248.041,3034567.432,0.982,,668248.041,3034567.432,0.982
94,668155.29,3034308.33,1.043,,668247.479,3034564.627,1.672,,668247.479,3034564.627,1.672
104,668184.99,3034384.56,1.352,,668250.211,3034564.723,0.982,,668250.211,3034564.723,0.982
107,668197.48,3034448.82,1.196,,668248.954,3034565.828,1.109,,668248.954,3034565.828,1.109
121,668218.7,3034514.82,0.849,,668250.332,3034564.437,1.016,,668250.332,3034564.437,1.016
129,668197.04,3034564.32,1.108,,668250.002,3034565.417,1.079,,668250.002,3034565.417,1.079
138,668239.17,3034576.22,1.203,,668249.517,3034564.192,1.291,,668249.517,3034564.192,1.291
145,668260.83,3034625.46,0.889,,668249.504,3034564.94,1.226,,668249.504,3034564.94,1.226
